file,model,I,alpha,rates,alisim_model
HVO_0203,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_0145,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_1957,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_1907,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_2427,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_2700,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_2700,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_1327,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_1327,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_0850,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_2380,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_2380,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
HVO_C0074,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_C0074,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0090,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0331,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0190,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0024,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0024,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0089,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0037,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0125,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0316,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0316,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0221,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0038,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0079,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0295,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0227,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0220,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
HVO_B0078,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
