file,model,I,alpha,rates,alisim_model
TraesCS4B02G082900,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7B02G373000,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS3B02G252900,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS3A02G054100,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7D02G504200,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7D02G381400,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS2A02G291100,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS5A02G321500,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS2B02G529300,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7B02G427100,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS1A02G071300,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS1A02G071300,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS2A02G221500,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS2A02G221500,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7D02G502900,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7A02G513800,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS5D02G306600,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS5D02G306600,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS4B02G380800,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS2B02G304200,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS5B02G110300,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS3A02G145100,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS3A02G145100,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS7D02G532000,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
TraesCS2B02G373100,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
