alignment	total_gaps	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9	bin_10	bin_11	bin_12	bin_13	bin_14	bin_15	bin_16	bin_17	bin_18	bin_19	bin_20	bin_21	bin_22	bin_23	bin_24	bin_25	bin_26	bin_27	bin_28	bin_29	bin_30	bin_31	bin_32	bin_33	bin_34	bin_35	bin_36	bin_37	bin_38	bin_39	bin_40	bin_41	bin_42	bin_43	bin_44	bin_45	bin_46	bin_47	bin_48	bin_49	bin_50	bin_51	bin_52	bin_53	bin_54	bin_55	bin_56	bin_57	bin_58	bin_59	bin_60	bin_61	bin_62	bin_63	bin_64	bin_65	bin_66	bin_67	bin_68	bin_69	bin_70	bin_71	bin_72	bin_73	bin_74	bin_75	bin_76	bin_77	bin_78	bin_79	bin_80	bin_81	bin_82	bin_83	bin_84	bin_85	bin_86	bin_87	bin_88	bin_89	bin_90	bin_91	bin_92	bin_93	bin_94	bin_95	bin_96	bin_97	bin_98	bin_99	bin_100
OG0012885	533	0.08818011	0.07504690	0.07129456	0.04878049	0.00750469	0.00750469	0.00750469	0.00750469	0.00750469	0.00750469	0.02251407	0.06003752	0.02063790	0.00750469	0.01125704	0.00562852	0.03377111	0.03377111	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01688555	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01876173	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01876173	0.00000000	0.00000000	0.00000000	0.00187617	0.00750469	0.00750469	0.00562852	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02814259	0.07504690	0.07504690	0.07504690	0.07504690	0.07129456
OG0008975	863	0.04866744	0.04866744	0.04866744	0.05677868	0.03012746	0.00000000	0.00000000	0.00463499	0.00000000	0.00231750	0.00231750	0.00811124	0.01390498	0.01274623	0.00000000	0.01158749	0.01390498	0.01506373	0.00231750	0.00000000	0.00926999	0.00231750	0.00695249	0.01853998	0.02896871	0.04866744	0.04171495	0.04171495	0.01274623	0.00811124	0.00231750	0.00695249	0.00695249	0.00000000	0.00811124	0.00347625	0.01622248	0.00000000	0.00000000	0.00000000	0.00000000	0.00695249	0.00579374	0.00000000	0.00000000	0.00695249	0.04055620	0.00000000	0.00000000	0.03244496	0.04866744	0.03592121	0.01042874	0.00231750	0.03476246	0.01622248	0.03244496	0.00000000	0.00000000	0.00347625	0.04171495	0.02549247	0.00000000	0.00115875	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04055620	0.02433372	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00695249
OG0015264	7953	0.01609456	0.01357978	0.00855023	0.01534012	0.00389790	0.00414938	0.00653841	0.00326921	0.00150886	0.00804728	0.00716711	0.00616120	0.01181944	0.00943040	0.00880171	0.00050295	0.00264051	0.00000000	0.00528103	0.00025148	0.00000000	0.00000000	0.00515529	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00352068	0.01760342	0.01584308	0.01760342	0.01056205	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00176034	0.00176034	0.00704137	0.00000000	0.00000000	0.00880171	0.00528103	0.00012574	0.01420847	0.00352068	0.00326921	0.00000000	0.01232239	0.01760342	0.01584308	0.01760342	0.01584308	0.01760342	0.01760342	0.00880171	0.00000000	0.01232239	0.01760342	0.01584308	0.01760342	0.01760342	0.01584308	0.01760342	0.01584308	0.01760342	0.01634603	0.01584308	0.01232239	0.00000000	0.01760342	0.01584308	0.01760342	0.01760342	0.01584308	0.01760342	0.00176034	0.01408274	0.01584308	0.01760342	0.01760342	0.01584308	0.01760342	0.01584308	0.01760342	0.01760342	0.01584308	0.01760342	0.01584308	0.01760342	0.00829876	0.01232239	0.01232239	0.01584308	0.01747768	0.01521438	0.01760342	0.01584308
OG0005053	1687	0.04742146	0.04208654	0.03912270	0.04030824	0.04149378	0.04505039	0.02311796	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02845287	0.05038530	0.04267931	0.04267931	0.04267931	0.04623592	0.04445762	0.02845287	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02845287	0.00059277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00296384	0.00059277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02904564	0.04623592	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02845287	0.02015412	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01304090	0.04149378	0.04623592	0.04623592	0.04623592	0.04564315
OG0015566	938	0.03198294	0.03198294	0.02558635	0.03198294	0.03198294	0.02558635	0.03198294	0.02558635	0.03198294	0.01705757	0.02132196	0.03091684	0.02132196	0.00533049	0.00213220	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03198294	0.00000000	0.00000000	0.00639659	0.00000000	0.00213220	0.02665245	0.02558635	0.03198294	0.01918977	0.00000000	0.00213220	0.00426439	0.00106610	0.02025586	0.03198294	0.02558635	0.00000000	0.00000000	0.00000000	0.00319829	0.00533049	0.00426439	0.01599147	0.03198294	0.00959488	0.01599147	0.01385928	0.00533049	0.01599147	0.02558635	0.00533049	0.00426439	0.02132196	0.03198294	0.02558635	0.01066098	0.00426439	0.00533049	0.02132196	0.00959488	0.00852878	0.00533049	0.00426439	0.01066098	0.01492537	0.00533049	0.00533049	0.00426439	0.00533049	0.00426439	0.00533049	0.00533049	0.00426439	0.00533049	0.00426439	0.00533049	0.00533049	0.00426439	0.00533049	0.00426439
OG0016237	3084	0.02431907	0.01621271	0.02431907	0.01621271	0.01621271	0.02431907	0.01621271	0.02399481	0.01459144	0.01361868	0.00680934	0.01070039	0.02529183	0.01686122	0.01686122	0.02529183	0.01686122	0.02529183	0.01686122	0.01686122	0.00648508	0.00551232	0.00972763	0.00616083	0.00421530	0.00583658	0.00064851	0.00875486	0.00000000	0.00000000	0.00032425	0.00032425	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01686122	0.00000000	0.00000000	0.00000000	0.00000000	0.00843061	0.00000000	0.00000000	0.00064851	0.00129702	0.00064851	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00064851	0.00064851	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00129702	0.00000000	0.00810636	0.01621271	0.02431907	0.01556420	0.00000000	0.00000000	0.01621271	0.02431907	0.01621271	0.02431907	0.00000000	0.00000000	0.00000000	0.00259403	0.00843061	0.01167315	0.01167315	0.02042802	0.01621271	0.02431907	0.01621271	0.01621271	0.02431907	0.01621271	0.02431907	0.01621271	0.01621271	0.02431907	0.01621271	0.01945525	0.01361868	0.01394293	0.02367056	0.01621271	0.02431907	0.01621271	0.01556420
OG0000526	271	0.05535055	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.05535055	0.03690037	0.01845018	0.00000000	0.00000000	0.00000000	0.00369004	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
OG0010801	127	0.00000000	0.06299213	0.12598425	0.06299213	0.06299213	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04724409	0.01574803	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06299213	0.00000000	0.00000000	0.01574803	0.01574803	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00787402	0.06299213	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07874016	0.07874016	0.03937008	0.07874016	0.07874016	0.03937008	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00787402	0.05511811
OG0012272	1824	0.03070175	0.03289474	0.03289474	0.03289474	0.03289474	0.03289474	0.03289474	0.03289474	0.03289474	0.02631579	0.03015351	0.00657895	0.00274123	0.00274123	0.00274123	0.01041667	0.00274123	0.03125000	0.02631579	0.03289474	0.03289474	0.03289474	0.03070175	0.03070175	0.02686404	0.00438596	0.00603070	0.00274123	0.00274123	0.00274123	0.00274123	0.00877193	0.00877193	0.00877193	0.02302632	0.00164474	0.00000000	0.00000000	0.00109649	0.00493421	0.00000000	0.00000000	0.00000000	0.00000000	0.00164474	0.00054825	0.00000000	0.00000000	0.00000000	0.00657895	0.00000000	0.00054825	0.00000000	0.00000000	0.00000000	0.00000000	0.02083333	0.00000000	0.00822368	0.00054825	0.00000000	0.00000000	0.00000000	0.00054825	0.00054825	0.00054825	0.00000000	0.00000000	0.01973684	0.03289474	0.01260965	0.00603070	0.00000000	0.01315789	0.00000000	0.00000000	0.00000000	0.01315789	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00548246	0.03015351	0.03289474	0.03289474	0.03289474	0.02631579
OG0014277	1811	0.03975704	0.03975704	0.03478741	0.03975704	0.03975704	0.03478741	0.03975704	0.03975704	0.03478741	0.03975704	0.03975704	0.03478741	0.02208724	0.02043070	0.01656543	0.01270017	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00552181	0.00000000	0.00000000	0.00000000	0.00000000	0.00386527	0.00607399	0.00883490	0.00441745	0.00773054	0.00662617	0.00110436	0.00000000	0.00110436	0.00165654	0.01159580	0.01490889	0.00496963	0.00000000	0.00055218	0.00386527	0.00110436	0.00993926	0.00607399	0.01159580	0.00938708	0.03368305	0.00552181	0.01711761	0.00386527	0.00773054	0.00717835	0.00441745	0.00993926	0.01435671	0.01546107	0.01214798	0.00496963	0.03313087	0.01104362	0.01380453	0.00607399	0.01380453	0.00276091	0.00000000	0.03036996	0.03147432	0.00662617	0.00000000	0.00110436	0.00000000	0.00000000	0.00000000	0.00000000	0.00276091	0.00773054	0.00000000	0.00883490	0.02650469	0.00220872	0.00552181	0.00773054	0.00220872	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
