pfam_id,model,I,alpha,rates,alisim_model
PF00004,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
PF00005,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
PF00006,LG+I+G4,0.0083,1.0956,,LG+I{0.0083}+G4{1.0956}
PF00008,LG+I+G4,0.1000,2.2518,,LG+I{0.1000}+G4{2.2518}
PF00009,LG+I+R4,0.0129,,"(0.0933,0.0898) (0.2267,0.3423) (0.3319,0.8373) (0.3353,1.8972)","LG+I{0.0129}+R4{0.0933,0.0898,0.2267,0.3423,0.3319,0.8373,0.3353,1.8972}"
PF00010,LG+I+R4,0.0000,,"(0.1006,0.0970) (0.2150,0.2985) (0.2565,0.7669) (0.4279,1.7044)","LG+I{0.0000}+R4{0.1006,0.0970,0.2150,0.2985,0.2565,0.7669,0.4279,1.7044}"
PF00011,LG+I+G4,0.0139,2.3468,,LG+I{0.0139}+G4{2.3468}
PF00013,LG+I+G4,0.0000,2.8148,,LG+I{0.0000}+G4{2.8148}
PF00016,LG+I+G4,0.0018,1.2616,,LG+I{0.0018}+G4{1.2616}
PF00018,LG+I+G4,0.0099,1.3761,,LG+I{0.0099}+G4{1.3761}
PF00024,LG+I+R4,0.0345,,"(0.0350,0.1464) (0.2187,0.4677) (0.3817,0.8688) (0.3301,1.6995)","LG+I{0.0345}+R4{0.0350,0.1464,0.2187,0.4677,0.3817,0.8688,0.3301,1.6995}"
PF00025,LG+I+G4,0.0874,2.0698,,LG+I{0.0874}+G4{2.0698}
PF00026,LG+F+I+G4,0.0333,1.8266,,LG+F+I{0.0333}+G4{1.8266}
