pfam_id,model,I,alpha,rates,alisim_model
PF00001,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
PF00002,LG+I+G4,0.0271,1.9570,,LG+I{0.0271}+G4{1.9570}
PF00003,JTT+F+R4,,,"(0.0815,0.2238) (0.2497,0.4989) (0.2778,0.8973) (0.3911,1.5546)","JTT+F+R4{0.0815,0.2238,0.2497,0.4989,0.2778,0.8973,0.3911,1.5546}"
PF00004,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
PF00005,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
PF00006,LG+I+G4,0.0083,1.0956,,LG+I{0.0083}+G4{1.0956}
PF00007,JTT+I+G4,0.0928,2.9303,,JTT+I{0.0928}+G4{2.9303}
PF00008,LG+I+G4,0.1000,2.2518,,LG+I{0.1000}+G4{2.2518}
PF00009,LG+I+R4,0.0129,,"(0.0933,0.0898) (0.2267,0.3423) (0.3319,0.8373) (0.3353,1.8972)","LG+I{0.0129}+R4{0.0933,0.0898,0.2267,0.3423,0.3319,0.8373,0.3353,1.8972}"
PF00010,LG+I+R4,0.0000,,"(0.1006,0.0970) (0.2150,0.2985) (0.2565,0.7669) (0.4279,1.7044)","LG+I{0.0000}+R4{0.1006,0.0970,0.2150,0.2985,0.2565,0.7669,0.4279,1.7044}"
PF00011,LG+I+G4,0.0139,2.3468,,LG+I{0.0139}+G4{2.3468}
PF00013,LG+I+G4,0.0000,2.8148,,LG+I{0.0000}+G4{2.8148}
PF00014,LG+I+R4,0.0848,,"(0.1228,0.0746) (0.1255,0.4191) (0.1377,0.8854) (0.5293,1.5423)","LG+I{0.0848}+R4{0.1228,0.0746,0.1255,0.4191,0.1377,0.8854,0.5293,1.5423}"
PF00017,LG+I+G4,0.0102,1.8383,,LG+I{0.0102}+G4{1.8383}
PF00018,LG+I+G4,0.0099,1.3761,,LG+I{0.0099}+G4{1.3761}
PF00019,LG+I+R4,0.0155,,"(0.1104,0.1273) (0.2813,0.5318) (0.3326,1.0515) (0.2601,1.8709)","LG+I{0.0155}+R4{0.1104,0.1273,0.2813,0.5318,0.3326,1.0515,0.2601,1.8709}"
PF00020,LG+I+G4,0.0484,0.8344,,LG+I{0.0484}+G4{0.8344}
PF00021,JTT+I+R3,0.0352,,"(0.0550,0.1590) (0.4223,0.7969) (0.4875,1.3430)","JTT+I{0.0352}+R3{0.0550,0.1590,0.4223,0.7969,0.4875,1.3430}"
PF00024,LG+I+R4,0.0345,,"(0.0350,0.1464) (0.2187,0.4677) (0.3817,0.8688) (0.3301,1.6995)","LG+I{0.0345}+R4{0.0350,0.1464,0.2187,0.4677,0.3817,0.8688,0.3301,1.6995}"
PF00025,LG+I+G4,0.0874,2.0698,,LG+I{0.0874}+G4{2.0698}
PF00026,LG+F+I+G4,0.0333,1.8266,,LG+F+I{0.0333}+G4{1.8266}
PF00027,LG+I+R4,0.0000,,"(0.0277,0.1766) (0.2516,0.5470) (0.3586,0.8942) (0.3621,1.4826)","LG+I{0.0000}+R4{0.0277,0.1766,0.2516,0.5470,0.3586,0.8942,0.3621,1.4826}"
PF00028,LG+I+G4,0.0000,1.8628,,LG+I{0.0000}+G4{1.8628}
PF00029,LG+I+R4,0.0239,,"(0.2005,0.0735) (0.2580,0.2280) (0.2145,0.6662) (0.3031,2.5849)","LG+I{0.0239}+R4{0.2005,0.0735,0.2580,0.2280,0.2145,0.6662,0.3031,2.5849}"
PF00030,LG+F+I+R4,0.0000,,"(0.0341,0.0306) (0.1447,0.3180) (0.4593,0.8739) (0.3619,1.5239)","LG+F+I{0.0000}+R4{0.0341,0.0306,0.1447,0.3180,0.4593,0.8739,0.3619,1.5239}"
PF00031,JTT+G4,,3.8341,,JTT+G4{3.8341}
PF00032,LG+F+I+R4,0.0150,,"(0.1137,0.0826) (0.2131,0.3676) (0.3274,0.9294) (0.3309,1.8376)","LG+F+I{0.0150}+R4{0.1137,0.0826,0.2131,0.3676,0.3274,0.9294,0.3309,1.8376}"
PF00033,LG+F+I+G4,0.0039,1.4055,,LG+F+I{0.0039}+G4{1.4055}
PF00034,LG+I+G4,0.0224,2.8247,,LG+I{0.0224}+G4{2.8247}
PF00035,LG+I+G4,0.0000,1.0545,,LG+I{0.0000}+G4{1.0545}
PF00036,LG+I+R4,0.0000,,"(0.0704,0.0198) (0.3714,0.4440) (0.2252,0.8828) (0.3330,1.9065)","LG+I{0.0000}+R4{0.0704,0.0198,0.3714,0.4440,0.2252,0.8828,0.3330,1.9065}"
PF00037,LG+I+G4,0.1250,1.7448,,LG+I{0.1250}+G4{1.7448}
PF00039,LG+I+R2,0.0666,,"(0.2345,0.4125) (0.6989,1.2923)","LG+I{0.0666}+R2{0.2345,0.4125,0.6989,1.2923}"
PF00040,LG+I+R4,0.0000,,"(0.1789,0.0177) (0.2312,0.4049) (0.2231,0.9723) (0.3668,1.8711)","LG+I{0.0000}+R4{0.1789,0.0177,0.2312,0.4049,0.2231,0.9723,0.3668,1.8711}"
PF00041,LG+I+R4,0.0000,,"(0.0629,0.1523) (0.1022,0.4428) (0.2684,0.6999) (0.5665,1.3369)","LG+I{0.0000}+R4{0.0629,0.1523,0.1022,0.4428,0.2684,0.6999,0.5665,1.3369}"
PF00042,LG+F+I+G4,0.0147,4.0245,,LG+F+I{0.0147}+G4{4.0245}
PF00043,LG+I+R3,0.0000,,"(0.0306,0.1502) (0.4029,0.6028) (0.5664,1.3285)","LG+I{0.0000}+R3{0.0306,0.1502,0.4029,0.6028,0.5664,1.3285}"
PF00044,LG+I+R4,0.0049,,"(0.1162,0.0734) (0.2553,0.3938) (0.3066,0.9160) (0.3170,1.9243)","LG+I{0.0049}+R4{0.1162,0.0734,0.2553,0.3938,0.3066,0.9160,0.3170,1.9243}"
PF00046,LG+I+G4,0.0000,0.7391,,LG+I{0.0000}+G4{0.7391}
PF00047,LG+I+R3,0.0000,,"(0.0674,0.1052) (0.3381,0.5092) (0.5945,1.3805)","LG+I{0.0000}+R3{0.0674,0.1052,0.3381,0.5092,0.5945,1.3805}"
PF00048,JTT+I+R4,0.0314,,"(0.1581,0.3254) (0.1944,0.7163) (0.3795,1.1159) (0.2366,1.6304)","JTT+I{0.0314}+R4{0.1581,0.3254,0.1944,0.7163,0.3795,1.1159,0.2366,1.6304}"
PF00049,JTT+G4,,1.5878,,JTT+G4{1.5878}
PF00050,LG+I+G4,0.0629,1.4948,,LG+I{0.0629}+G4{1.4948}
PF00051,LG+I+G4,0.1493,1.2359,,LG+I{0.1493}+G4{1.2359}
PF00052,JTT+F+G4,,1.6754,,JTT+F+G4{1.6754}
PF00053,LG+I+G4,0.1143,2.3737,,LG+I{0.1143}+G4{2.3737}
PF00054,LG+I+G4,0.0000,2.5401,,LG+I{0.0000}+G4{2.5401}
PF00055,LG+I+R4,0.0225,,"(0.1400,0.1637) (0.3191,0.4541) (0.2972,1.1325) (0.2212,2.2409)","LG+I{0.0225}+R4{0.1400,0.1637,0.3191,0.4541,0.2972,1.1325,0.2212,2.2409}"
PF00056,LG+I+G4,0.0247,1.7642,,LG+I{0.0247}+G4{1.7642}
PF00059,LG+I+R4,0.0110,,"(0.0165,0.0364) (0.1110,0.2682) (0.3213,0.6778) (0.5402,1.3917)","LG+I{0.0110}+R4{0.0165,0.0364,0.1110,0.2682,0.3213,0.6778,0.5402,1.3917}"
PF00061,LG+F+I+R4,0.0000,,"(0.0320,0.2512) (0.3189,0.6680) (0.3603,0.9984) (0.2888,1.4515)","LG+F+I{0.0000}+R4{0.0320,0.2512,0.3189,0.6680,0.3603,0.9984,0.2888,1.4515}"
