pfam_id,model,I,alpha,rates,alisim_model
PF00004,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
PF00005,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
PF00006,LG+I+G4,0.0083,1.0956,,LG+I{0.0083}+G4{1.0956}
PF00009,LG+I+R4,0.0129,,"(0.0933,0.0898) (0.2267,0.3423) (0.3319,0.8373) (0.3353,1.8972)","LG+I{0.0129}+R4{0.0933,0.0898,0.2267,0.3423,0.3319,0.8373,0.3353,1.8972}"
PF00011,LG+I+G4,0.0139,2.3468,,LG+I{0.0139}+G4{2.3468}
PF00013,LG+I+G4,0.0000,2.8148,,LG+I{0.0000}+G4{2.8148}
PF00016,LG+I+G4,0.0018,1.2616,,LG+I{0.0018}+G4{1.2616}
PF00032,LG+F+I+R4,0.0150,,"(0.1137,0.0826) (0.2131,0.3676) (0.3274,0.9294) (0.3309,1.8376)","LG+F+I{0.0150}+R4{0.1137,0.0826,0.2131,0.3676,0.3274,0.9294,0.3309,1.8376}"
PF00033,LG+F+I+G4,0.0039,1.4055,,LG+F+I{0.0039}+G4{1.4055}
PF00037,LG+I+G4,0.1250,1.7448,,LG+I{0.1250}+G4{1.7448}
PF00041,LG+I+R4,0.0000,,"(0.0629,0.1523) (0.1022,0.4428) (0.2684,0.6999) (0.5665,1.3369)","LG+I{0.0000}+R4{0.0629,0.1523,0.1022,0.4428,0.2684,0.6999,0.5665,1.3369}"
