pfam_id,model,I,alpha,rates,alisim_model
PF00004,LG+I+R4,0.0000,,"(0.0703,0.0977) (0.3175,0.4526) (0.3792,0.9957) (0.2331,2.0244)","LG+I{0.0000}+R4{0.0703,0.0977,0.3175,0.4526,0.3792,0.9957,0.2331,2.0244}"
PF00005,LG+I+R4,0.0119,,"(0.0568,0.0760) (0.1945,0.3324) (0.3266,0.7964) (0.4102,1.6357)","LG+I{0.0119}+R4{0.0568,0.0760,0.1945,0.3324,0.3266,0.7964,0.4102,1.6357}"
PF00006,LG+I+G4,0.0083,1.0956,,LG+I{0.0083}+G4{1.0956}
PF00009,LG+I+R4,0.0129,,"(0.0933,0.0898) (0.2267,0.3423) (0.3319,0.8373) (0.3353,1.8972)","LG+I{0.0129}+R4{0.0933,0.0898,0.2267,0.3423,0.3319,0.8373,0.3353,1.8972}"
PF00011,LG+I+G4,0.0139,2.3468,,LG+I{0.0139}+G4{2.3468}
PF00013,LG+I+G4,0.0000,2.8148,,LG+I{0.0000}+G4{2.8148}
PF00027,LG+I+R4,0.0000,,"(0.0277,0.1766) (0.2516,0.5470) (0.3586,0.8942) (0.3621,1.4826)","LG+I{0.0000}+R4{0.0277,0.1766,0.2516,0.5470,0.3586,0.8942,0.3621,1.4826}"
PF00034,LG+I+G4,0.0224,2.8247,,LG+I{0.0224}+G4{2.8247}
PF00035,LG+I+G4,0.0000,1.0545,,LG+I{0.0000}+G4{1.0545}
PF00037,LG+I+G4,0.1250,1.7448,,LG+I{0.1250}+G4{1.7448}
PF00042,LG+F+I+G4,0.0147,4.0245,,LG+F+I{0.0147}+G4{4.0245}
PF00043,LG+I+R3,0.0000,,"(0.0306,0.1502) (0.4029,0.6028) (0.5664,1.3285)","LG+I{0.0000}+R3{0.0306,0.1502,0.4029,0.6028,0.5664,1.3285}"
