file,model,I,alpha,rates,alisim_model
YFL036W,LG+I+R4,0.0029,,"(0.1209,0.1820) (0.3677,0.5632) (0.2729,1.0728) (0.2356,2.0291)","LG+I{0.0029}+R4{0.1209,0.1820,0.3677,0.5632,0.2729,1.0728,0.2356,2.0291}"
YGR131W,LG+F+I+G4,0.0278,1.5693,,LG+F+I{0.0278}+G4{1.5693}
YLR438W,LG+I+R4,0.0278,,"(0.4305,0.0585) (0.2891,0.6440) (0.1647,2.0558) (0.0878,5.1222)","LG+I{0.0278}+R4{0.4305,0.0585,0.2891,0.6440,0.1647,2.0558,0.0878,5.1222}"
YJR057W,LG+I+G4,0.1929,0.8689,,LG+I{0.1929}+G4{0.8689}
YNR058W,LG+I+G4,0.0330,1.2303,,LG+I{0.0330}+G4{1.2303}
YLR368W,LG+I+G4,0.0000,1.8735,,LG+I{0.0000}+G4{1.8735}
YBR250W,LG+I+G4,0.0000,0.9631,,LG+I{0.0000}+G4{0.9631}
YCR014C,LG+I+G4,0.0000,0.9140,,LG+I{0.0000}+G4{0.9140}
YBR091C,LG+I+G4,0.0556,0.8867,,LG+I{0.0556}+G4{0.8867}
YGR010W,LG+I+R4,0.0151,,"(0.6307,0.1309) (0.2309,0.9151) (0.0944,3.8216) (0.0289,11.9468)","LG+I{0.0151}+R4{0.6307,0.1309,0.2309,0.9151,0.0944,3.8216,0.0289,11.9468}"
YCR016W,LG+I+G4,0.0014,0.6532,,LG+I{0.0014}+G4{0.6532}
YJR135W-A,LG+I+G4,0.0000,0.9883,,LG+I{0.0000}+G4{0.9883}
YJL158C,LG+I+G4,0.0932,0.7531,,LG+I{0.0932}+G4{0.7531}
YER175C,LG+I+R4,0.0030,,"(0.3907,0.1152) (0.2274,0.4926) (0.2360,1.5865) (0.1429,3.2786)","LG+I{0.0030}+R4{0.3907,0.1152,0.2274,0.4926,0.2360,1.5865,0.1429,3.2786}"
YKL182W,LG+I+R4,0.0063,,"(0.1369,0.0543) (0.4440,0.5755) (0.3265,1.4135) (0.0863,3.1916)","LG+I{0.0063}+R4{0.1369,0.0543,0.4440,0.5755,0.3265,1.4135,0.0863,3.1916}"
YOL075C,LG+I+G4,0.1944,0.8220,,LG+I{0.1944}+G4{0.8220}
YLR286C,LG+I+R4,0.0013,,"(0.2018,0.0419) (0.2450,0.4461) (0.3630,1.0959) (0.1889,2.5648)","LG+I{0.0013}+R4{0.2018,0.0419,0.2450,0.4461,0.3630,1.0959,0.1889,2.5648}"
YDL007W,LG+I+G4,0.1395,1.0931,,LG+I{0.1395}+G4{1.0931}
YGL011C,LG+I+G4,0.0919,1.0878,,LG+I{0.0919}+G4{1.0878}
YOR128C,LG+I+G4,0.1677,0.7135,,LG+I{0.1677}+G4{0.7135}
YDR440W,LG+I+G4,0.1141,0.8998,,LG+I{0.1141}+G4{0.8998}
YCL045C,LG+I+G4,0.0000,1.4432,,LG+I{0.0000}+G4{1.4432}
YDL215C,LG+I+G4,0.0000,0.8484,,LG+I{0.0000}+G4{0.8484}
YFR009W,LG+I+G4,0.2488,0.8062,,LG+I{0.2488}+G4{0.8062}
YML022W,LG+I+R4,0.0082,,"(0.4420,0.1560) (0.2243,0.7333) (0.1526,1.4645) (0.1729,3.1411)","LG+I{0.0082}+R4{0.4420,0.1560,0.2243,0.7333,0.1526,1.4645,0.1729,3.1411}"
YHR052W,LG+I+G4,0.0000,3.9272,,LG+I{0.0000}+G4{3.9272}
YGL067W,LG+I+G4,0.1991,1.3628,,LG+I{0.1991}+G4{1.3628}
YMR216C,LG+I+G4,0.1614,0.8011,,LG+I{0.1614}+G4{0.8011}
