file,model,I,alpha,rates,alisim_model
YML112W,LG+I+G4,0.0381,0.7983,,LG+I{0.0381}+G4{0.7983}
YFR037C,LG+I+G4,0.1217,1.1605,,LG+I{0.1217}+G4{1.1605}
YDR063W,LG+I+G4,0.0000,1.9044,,LG+I{0.0000}+G4{1.9044}
YDR421W,LG+I+G4,0.0000,0.7566,,LG+I{0.0000}+G4{0.7566}
YOR275C,LG+F+I+G4,0.0000,1.7167,,LG+F+I{0.0000}+G4{1.7167}
YLR442C,LG+I+G4,0.0000,1.8532,,LG+I{0.0000}+G4{1.8532}
YMR182C,LG+I+G4,0.2675,1.1076,,LG+I{0.2675}+G4{1.1076}
YMR236W,LG+I+G4,0.0000,0.8871,,LG+I{0.0000}+G4{0.8871}
YPR182W,LG+I+G4,0.0592,0.6844,,LG+I{0.0592}+G4{0.6844}
YBR198C,LG+I+G4,0.0629,1.6630,,LG+I{0.0629}+G4{1.6630}
YPL170W,LG+I+G4,0.1554,1.1689,,LG+I{0.1554}+G4{1.1689}
YMR207C,LG+I+G4,0.3163,0.8384,,LG+I{0.3163}+G4{0.8384}
YOR386W,LG+I+G4,0.0339,1.5259,,LG+I{0.0339}+G4{1.5259}
YNL312W,LG+I+G4,0.0000,2.3369,,LG+I{0.0000}+G4{2.3369}
YGR178C,LG+I+G4,0.0184,1.8424,,LG+I{0.0184}+G4{1.8424}
YML104C,LG+I+G4,0.0740,1.0058,,LG+I{0.0740}+G4{1.0058}
YGR074W,LG+I+G4,0.0570,1.2888,,LG+I{0.0570}+G4{1.2888}
YBL099W,LG+I+G4,0.0729,0.4796,,LG+I{0.0729}+G4{0.4796}
YMR223W,LG+I+G4,0.0589,0.9378,,LG+I{0.0589}+G4{0.9378}
YLR201C,LG+I+G4,0.0396,0.9815,,LG+I{0.0396}+G4{0.9815}
YHR156C,LG+I+G4,0.0205,1.7290,,LG+I{0.0205}+G4{1.7290}
YDR146C,LG+I+G4,0.0000,0.7280,,LG+I{0.0000}+G4{0.7280}
YDL051W,LG+I+R3,0.0000,,"(0.4804,0.1526) (0.1188,0.6130) (0.4009,2.1301)","LG+I{0.0000}+R3{0.4804,0.1526,0.1188,0.6130,0.4009,2.1301}"
YDL117W,LG+I+G4,0.0184,1.2000,,LG+I{0.0184}+G4{1.2000}
YFL009W,LG+I+R4,0.0000,,"(0.0721,0.1018) (0.3642,0.5851) (0.3691,1.0406) (0.1946,2.0324)","LG+I{0.0000}+R4{0.0721,0.1018,0.3642,0.5851,0.3691,1.0406,0.1946,2.0324}"
YKR055W,LG+I+G4,0.0128,1.0137,,LG+I{0.0128}+G4{1.0137}
YDR049W,LG+I+G4,0.0783,0.9727,,LG+I{0.0783}+G4{0.9727}
YPL167C,LG+I+G4,0.0000,0.8260,,LG+I{0.0000}+G4{0.8260}
YDR266C,LG+I+G4,0.0159,0.7865,,LG+I{0.0159}+G4{0.7865}
YOR089C,LG+I+G4,0.3826,0.5871,,LG+I{0.3826}+G4{0.5871}
YGR067C,LG+I+R4,0.0000,,"(0.3185,0.1180) (0.4365,0.4146) (0.2017,1.7042) (0.0433,10.1113)","LG+I{0.0000}+R4{0.3185,0.1180,0.4365,0.4146,0.2017,1.7042,0.0433,10.1113}"
YDR054C,LG+I+G4,0.1024,0.9487,,LG+I{0.1024}+G4{0.9487}
YNL180C,LG+I+G4,0.1205,0.4785,,LG+I{0.1205}+G4{0.4785}
YPR186C,LG+I+G4,0.1109,0.8544,,LG+I{0.1109}+G4{0.8544}
YBR230C,LG+F+I+G4,0.0260,1.4772,,LG+F+I{0.0260}+G4{1.4772}
YOR039W,LG+I+G4,0.1228,0.8297,,LG+I{0.1228}+G4{0.8297}
YFR032C,LG+I+G4,0.0000,1.1425,,LG+I{0.0000}+G4{1.1425}
YCL010C,LG+I+G4,0.0305,0.8545,,LG+I{0.0305}+G4{0.8545}
YJL132W,LG+I+G4,0.0000,0.8619,,LG+I{0.0000}+G4{0.8619}
YMR272C,LG+I+G4,0.0000,0.9044,,LG+I{0.0000}+G4{0.9044}
YLR139C,LG+F+I+G4,0.0000,1.1631,,LG+F+I{0.0000}+G4{1.1631}
YHL022C,LG+I+R4,0.0000,,"(0.1484,0.0900) (0.2980,0.4911) (0.3304,1.0658) (0.2233,2.1867)","LG+I{0.0000}+R4{0.1484,0.0900,0.2980,0.4911,0.3304,1.0658,0.2233,2.1867}"
YKL140W,LG+I+G4,0.1273,0.8666,,LG+I{0.1273}+G4{0.8666}
YGR056W,LG+I+R4,0.0000,,"(0.2771,0.1452) (0.3552,0.7482) (0.2748,1.4587) (0.0929,3.1558)","LG+I{0.0000}+R4{0.2771,0.1452,0.3552,0.7482,0.2748,1.4587,0.0929,3.1558}"
YCR002C,LG+I+G4,0.1469,1.1402,,LG+I{0.1469}+G4{1.1402}
YKL185W,JTT+I+G4,0.4657,0.6849,,JTT+I{0.4657}+G4{0.6849}
YDL205C,LG+I+G4,0.1685,0.8133,,LG+I{0.1685}+G4{0.8133}
YPR013C,LG+I+G4,0.1803,0.9510,,LG+I{0.1803}+G4{0.9510}
YPL196W,LG+F+I+G4,0.0000,1.2993,,LG+F+I{0.0000}+G4{1.2993}
YMR192W,LG+I+G4,0.0211,1.1549,,LG+I{0.0211}+G4{1.1549}
YER164W,LG+I+G4,0.1067,0.9256,,LG+I{0.1067}+G4{0.9256}
YCR069W,LG+I+G4,0.0856,1.3360,,LG+I{0.0856}+G4{1.3360}
YDL135C,LG+I+G4,0.0000,1.3740,,LG+I{0.0000}+G4{1.3740}
YCL011C,LG+I+G4,0.0614,1.0908,,LG+I{0.0614}+G4{1.0908}
YPL117C,LG+I+G4,0.3062,0.6713,,LG+I{0.3062}+G4{0.6713}
YDR523C,LG+I+G4,0.0895,0.7847,,LG+I{0.0895}+G4{0.7847}
YER019W,LG+I+G4,0.0924,0.8188,,LG+I{0.0924}+G4{0.8188}
YBR250W,LG+I+R4,0.0000,,"(0.1047,0.0938) (0.2212,0.3847) (0.3077,0.8523) (0.3664,1.7544)","LG+I{0.0000}+R4{0.1047,0.0938,0.2212,0.3847,0.3077,0.8523,0.3664,1.7544}"
YGL169W,LG+I+G4,0.2055,0.8261,,LG+I{0.2055}+G4{0.8261}
YCL035C,LG+I+G4,0.0000,1.2103,,LG+I{0.0000}+G4{1.2103}
YCL037C,LG+I+G4,0.0113,0.7072,,LG+I{0.0113}+G4{0.7072}
YBL080C,LG+I+G4,0.1597,0.7950,,LG+I{0.1597}+G4{0.7950}
YPR025C,LG+I+G4,0.0102,1.2764,,LG+I{0.0102}+G4{1.2764}
YFR022W,LG+I+G4,0.0000,1.4867,,LG+I{0.0000}+G4{1.4867}
YDR011W,LG+I+G4,0.0000,1.8613,,LG+I{0.0000}+G4{1.8613}
YLL034C,LG+I+G4,0.2329,0.7190,,LG+I{0.2329}+G4{0.7190}
