file,model,I,alpha,rates,alisim_model
ENSGALG00010000079.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010000729.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001082.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001111.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001117.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001118.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001120.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001122.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001124.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001130.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001256.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001263.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001265.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001280.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
ENSGALG00010001284.1,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
