file,model,I,alpha,rates,alisim_model
LOC100576746,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC412896,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
GeneID_551388,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC724602,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC727324,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
GeneID_406111,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC411420,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC412299,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC100577231,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC100577758,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
GeneID_768250,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC724495,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
GeneID_406128,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
LOC411611,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
GeneID_552518,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
GeneID_552518,LG+F+I+R4,0.0063,,"(0.0505,0.1027) (0.1626,0.3209) (0.2789,0.7026) (0.5016,1.4886)","LG+F+I{0.0063}+R4{0.0505,0.1027,0.1626,0.3209,0.2789,0.7026,0.5016,1.4886}"
